untiID,Чему вы научились в рамках курса?
1052125,"В рамках курса самое первое и основное, что я поняла сначала создаем и прорабатываем аватар клиента и дорабатываем его на протяжении всего времени.  Также очень важно проанализировать конкурентов еще на старте и делать это периодически.  Важно регулярно вести свой аккаунт с подачей разных видов контента (как минимум 30), чтобы удерживать и побуждать к действию ЦА. Также узнала , что инстаграм требует наличие хорошего визуала. На сегодняшний день мой аккаунт, конечно не идеальный и многое предстоит еще дорабатывать, но  есть лента с нормальным визуалом, стараюсь регулярно посты, сторис и прямые эфиры надо чаще, работаю над этим. Научилась писать посты. Преодолела стеснение пока редко, но все же выхожу в прямые эфиры. использую различные виды контента. Постоянно работаю с аватаром. Исследую статистику своего аккаунта. "
1049401,"Узнали как правильно упаковывать посты ( хештеги, обращение к подписчикам, карусель). Понял на сколько большую роль играть формат сториз, стал более оригинально оформлять. Формат IG TV играет такую большую роль как сториз, что нужно использовать в своей работе, и нужен полезный посыл. Алгоритм умный ленты - полезность людям за бесплатно. Дизайн оформления общей ленты, контент план должен состоять из нескольких разновидностей, быть интересным, лёгким, и полезность. Обработка фотографий для постов, сториз, очень полезный навык. Понял что необходимо иметь контент план, для удобства в работе, так легче понять что нужно для будущего продвижения."
1055360,"- Я завела Инстаграм с нуля. 
- Освоила принципы работы умной ленты, которые пригодятся и для других площадок. 
- Узнала как проводить разбор аккаунта, чтобы понимать эффективность его ведения.
- Очень понравился урок про аналитику, попробовала сделать анализ своих KPI, обязательно буду применять это в своей деятельности;
- Узнала много сервисов для помощи в ведении Инстаграм (по оформлению фото, видео, сбору статистики, аналитики и т .д.)
- Узнала основные принципы набора подписчиков. Приятно, что этих способов много, есть в том числе и бесплатные. Однозначно буду применять.
- Научилась делать посадочные страницы;
- Научилась делать лид-магнит (полезное PDF)
- Принцип ""добираться до болей аватара"" считаю полезным и вполне приемлемым для построения личных взаимоотношений.
- Расширила свои знания о видах контента. Убедилась в необходимости выкладывать видео-форматы."
579068,"Я наконец-то завела Taplink в активной ссылке в шапке профиля, ранее ""не доходили руки"" это сделать. Также я испытала сервисы аналитики контента. Понравился Popsters. После лекции про аватар клиента я описала один, планирую описать еще два. Такая механика дается мне лучше, чем другие"
1051205,"Научился оформлять бизнес инстаграмм профиль
Делать вечные сториз
Редактировать графику
Изучать вспомогательные сервисы
На практике я нашел первых подписчиков в свой бизнес-инстаграмм профиль а так же начал делать посты самостоятельно 
Не боятся видеозаписи
"
1054471,"Научилась создавать и прорабатывать шапку, оформление аккаунта с ""нуля"". Узнала многое о видах контента, отличии, и тех видах, которые наиболее интересны для читателей. Научилась правильно составлять и оформлять тексты для постов, сториз. Попробовала создавать видео-контент. Полезным и важным была проработка контента через историю. Сейчас мне проще создавать посты и статьи и в Яндекс.Дзен. Научилась разрабатывать контент-план. Скажу честно, раньше делала простой список тем. С помощью контент-плана работа стала системной. И трачу меньше времени на самоорганизацию. Вижу положительную динамику в приросте аудитории, уникальных посетителях и активности читателей. Важным открытием было проработка Аватара и ведение всей работы именно через Аватар, боли, сомнения и проблемы. Поняла суть кейсов. Теперь вижу ""кейсы"" во всем, именно с позиции ""проблема"" - ""решение"", даже в мелочах. Но уже могу показать эти ""пути"" как клиентам, так и аудитории своих проектов. И сразу оформляю кейсы, чтобы как можно больше было движений вперед, проще было отработать возражения. Важными были уроки как работает Умная лента, как можно продвигать аккаунт. Как взаимодействовать с аудиторией, чтобы привлечь внимание, повысить активность. Научилась анализировать свою работу, используя основные показатели статистики. Поняла, где и как искать клиентов как смм-специалисту. Спасибо! "
990319,"В рамках курса я научилась выделять свою ЦА, строить аватар клиента, научилась снимать прямые эфиры и igtv, до этого боялась.
Приобрела новые навыки по ведению контента.
Получилось увеличить количество заказов поступаемых в Директ."
617183,"Я научился работать в новых программах по дизайну. Очень интересный для меня был блок по контенту (основа основ). От качественного размещения контента и самого главного умного зависит очень многое. Сергей, подробно рассказал о различных видах контента, все очень структурировано и последовательно, с элементами юморка. Важно еще анализировать статистику, поэтому модуль про аналитику тоже стал краеугольным камнем данного курса. Ну и хэштэги, раньше, я просто ставил их не впопад. Сергей подробно объяснил, как с ними работать! "
1053683,"1. Научилась ставить цели и планировать работу по продвижению в социальных сетях.
2. Научилась работать с аватаром, ориентироваться на него.
3. Научилась выявлять боли своего аватара и работать через эту призму.
4. Научилась работать с контентом, в том числе планировать контент, делать его максимально разнообразным и интересным для аудитории.
5. Освоила навыки того, как делать своей контент визуально качественным и привлекательным.
6. Научилась вести прямые эфиры.
7. Усвоила принцип ""максимальной полезности"" для своей аудитории и клиентов в социальных сетях.
8. Освоила основы взаимного сотрудничества в социальных сетях.
9. Научилась взаимодействовать и общаться с аудиторией
10. Научилась работать с основными показателями статистики.
"
1054325,"Поняла  что такое целевая аудитория и аватар клиента. И насколько они действительно важны на практике. Узнала о том, как правильно оформленная шапка профиля и в целом визуал ленты (страницы) влияет на продажи. Что такое оффер и как его правильно построить. Познакомились с контент- маркетингом и алгоритмами умной ленты. Узнала как повысить вовлеченность подписчиков, и как привлечь новых.  Познакомилась с принципами продвижения, а также о том как попадать в ТОПы. Науичилась проводить аналитику эффективности рекламных кампаний и работы в целом. На протяжении всего курса велась работа над аккаунтом. Что позволяет сразу закрепить изученный материал.  Итоговой работой стало оформление кейса."
358115,"Была интересна информация про автар клиента, на основании урока сделали мозговой штурм с владельцем салона, который я веду. Была интересна информация про анализ конкурентов, узнала очень полезные техники и сайты для анализа. Про типы контента очень полезно было, чек лист очень пригодился. Научилась генерировать новые идеи для постов. Спасибо!"
1044379,"Научилась брать и делать, даже, если не понятно. Научилась писать тексты, составлять контент-план. Поняла принципы продвижения товаров и услуг, на чем они основаны, как строятся и как их выстроить. Как упаковать продукт. Научилась простым основам дизайна, что бы обеспечивать и вести профиль. Научилась искать новые гибкие творческие подходы решения задачи. Очень классно пошло определение аватара клиента и поняла, как строить от этого всю цепочку развития бизнеса. При том, что раньше не понятно вообще было это. Освоила разные виды контента, научилась их применять: посты, сториз, видео, эфиры. Научилась находить блогеров, паблики, поняла, как с ними работать, что при этом надо делать в профиле. Научилась разными способами повышать охват и вовлеченность в профиле."
1051470,"Научился подходить комплексно. и при этом, разбивая задачи по конкретике, углубляясь, можно развиваться до бесконечности. научился видеть и понимать как можно применять фото контент. научился снимать видео и монтировать его. осовил программы для редактирования фото и видео. научился писать текст. разобрался что такое оффер и как его следует применять. уже даже письма пишу по правилу 4ю.) научился создавать контент план и сам контент уже делаю исключительно исходя из аватар клиента. Знаете, вот честно, урок аватар  уже конкретно перевернул мой подход. Огромное спасибо вам!!!"
1053458,"Научился конкретизации аватара подписчика (клиента), настраивать статистику аккаунта, понимать принципы взаимодействия с целевой аудиторией, увидел перспективность изученного направления."
994372,"- до курса не имела совсем представления, как работает продвижение в Инстаграм ( вообще, инстаграм),полный 0.
- узнала для чего лайки, хэштеги, шеры (до курса думала- прихоть блогеров)
- как организовывать воронки продаж
- Live, IGTV- играют важную роль ( впервые сделали Live, благодаря курсу)
- узнала про различные приложения и сервисы/ до курса ни сном, ни духом про них. ( научилась с ними работать)
- разновидности контента
- боли клиента
- более трудная тема для меня - аналитика, но я ее ""добью"", понимаю, без нее работа СММ не строится.
В общем, абсолютно всё, что я прошла на курсе, для меня впервые, в новинку- это как на другую планету попасть, действительно!


"
1045753,"1. Узнала полезные программы для работы в инстаграм.  
2.  Научилась писать посты, хотя изначально думала, что не смогу писать.
3. Узнала конкретную основу, базу для раскручивания инстаграм.
4. Научилась планировать контент-план на месяц (урок 60 тем контента просто супер!!!)
5.  Уроки по визуалу -  это прям моё!!! вечные сториз, шаблоны постов, обработка фото !!! теперь и свою личную страницу  переделываю по-новому!!!
6.  Обращаю внимание на ошибки людей по ведению инстагрм (это уже чисто произвольно происходит).
7. Поняла как вести статистику, выявлять плюсы и минусы своей работы.
8. В целом курс очень полезный для меня,  вижу, что есть к чему стремиться!!!"
605579,"Я открыла для себя неизведанный мир Инстаграма и поняла, насколько отстала от жизни. Создала свой аккаунт. Нашла помощников в создании дизайна ленты. Попробовала простые способы продвижения. Набрала более 200сот подписчиков. Научилась создавать контент, получила положительные отзывы и уже нашла поклонников своего контента. Впервые провела прямой эфир. Поняла, что читать мои истории людям интересно. Получила предложение подписчиков вести свой блог. Подписалась на интересные для меня аккаунты.  "
1044676,"Научился учиться дистанционно. Научился:  правильному оформлению аккаунта в Instagram, составлению контент-плана. Усвоил основы копирайтинга и продвижения (сейчас эти темы изучаю дальше, более углубленно). Узнал, что соц.сети и в частности Instagram - отличный способ заработка. Научился генерировать идеи: контент, оформление, привлечение. Лучше узнал целевую аудиторию, с которой взаимодействую на текущей основной работе. Показатель - увеличились продажи )))"
1049235,"Научилась узнавать своего аватара.Составлять контент план минимум на 2 месяца. Создавать вечные сториз, узнала много о дизайне Instagrama.Научилась работать с текстом и как применять хештеги. Работа с умной лентой тоже была очень интересна и познавательна."
491629,"В рамках курса я научилась делать контент-план. Я и раньше делала его, но он был совсем простым. А теперь, с новыми знаниями, я и экономлю время, и вместе с тем работа страницы стала насыщеннее. 
Оформила шапку профиля как следует, с упрощеной связью с клиентами. 
Узнала секреты лайков и комментариев.
Предстоит большая работа с видео. Пока не совсем получается. Нужны навыки, будем работать. "
985298,Мне удалось сделать красивый аккаунт.  Попробовала некоторые программ по дизайну и еще нашла достаточное количество для ознакомления. Я научилась правильно применять хештеги. Поняла о необходимости преодоления комплексов.  Стараюсь быть более открытой и увеличивать количества историй и эфиров.  
1054544,"На курсе я узнала как инстаграмм продает. 
Создала дополнительную страницу таплинк.  
Подробно узнала для чего нужен IGTVи как он помогает расширить охват моей аудитории. 
Внедрила его в свой конект план. 
Научилась создавать умную лету
Научилась общаться со своей аудиторией и привлекать ее к активным действиям на моей странице
Получила много инструментов как продвигать свой акаут без денег. "
596064,"я не научилась, а продолжаю учиться делать:
контент план
писать тексты
брать интервью
записываться видео
"
975408,"Курс был выбран не случайно. Именно для получения знаний, необходимых для продвижения существующего аккаунта.  Интересно проходить курс в котором очень много примеров, конкретных способов, алгоритмов действий направленных на одну цель - продвижение продукта, услуги, товара, личности. Интересно и действенно к применению. Проходя каждый шаг, тему, применяя непосредственно к своей задаче,  к своей ситуации получаешь готовое решение, да в какой то мере неидеальное, непрофессиональное на 100%(это начальный этап в построении своей новой профессии), но рабочее. Сейчас у меня есть конкретная инструкция для заказчика(моей супруги) к продвижению своего бренда. В каких то моментах она была не согласна со мной, в каких то моментах пришлось поспорить, повздорить)  но понимание того что выполняя вот эти рекомендации, следуя этим инструкция уже сейчас можно придти к определенно хорошим результатам. К сожалению не удалось применить это на практике в онлайн режиме, по мере обучения, приходиться совмещать учебу с основной работой, но результат уже есть - заказчик работает над своим брендом, развивает новые бизнес идеи, готовит материал.  Все интересное впереди!!!"
1054388,"Узнал правильное построение контент-плана. На практике сделал свой первый контент-план, который реально сэкономить мне минимум 30 минут в день.
Урок про правильное построение вопросов и предпринимательское мышление научил меня обдумывать каждое слово. Теперь и в жизни я применяю данный навык.
На практике я оформил бесконечную ленту клиенту, вывел его в прямой эфир и мы записали с ним 3 видео для IGTV.
  "
882211,"После прохождения курса Инстаграм для меня открылся с другой стороны.

Научилась:


	оформлять профиль;
	составлять портрет ЦА;
	красиво оформлять ленту и вечные сторис;
	работать со статистикой;
	запускать рекламу.


Все эти навыки применила на практике. Получила положительный результат в продвижении страницы.
"
1008306,"В рамках курса я научилась оформлять профиль в Инстаграм так, чтобы он лучшим образом подходил для продвижения в соцсети. 
Заполнять аккаунт интересным и вовлекающим контентом. Для этого - разрабатывать стратегию, определять свою ЦА, составлять аватар клиента. 
Создавать контент-план, писать посты, обрабатывать фотографии с помощью различных приложений, правильно составлять ТЗ для других специалистов, снимать и размещать видео.
Я получила подробное представление о том, как работать с блоггерами и пабликами, как проводить марафоны и конкурсы, как работать с аналитикой.
На практике я создала учебный аккаунт и веду его, стараясь придерживаться полученных рекомендаций. А в итоге получился рабочий бизнес-аккаунт, который я буду развивать и продолжать вести дальше согласно выбранной вначале стратегии. Это хорошая основа для моей дальнейшей работы как специалиста по СММ."
1050077,"Прослушав курс, я подчерпнула для себя многое. Выбрала для себя нужное направление. Разобрала на примере как лучше выстроить стратегию развития своего бизнеса. Научилась снимать истории и писать тексты. Было много полезной информации. "
1053029,"Пониманию работы с ЦА в сети. А именно: использованию метода АВАТАРА для осознания того кто и что мой Клиент, где он и чем живет.. А далее через это можно подойти к нему совсем близко, чтобы он заметил нас, наш продукт.
Аналитика - аналитика как всегда рулит!! Даже не сомневался, все правильно и логично!"
1050952,"1. Оформлять аккаунт в едином стиле, выделять OFFER , создавать Insta-лендинг, для чего освоила несколько приложений, 
2. Привлекать к фотосъемке контент-фотографов, контролировать их работу в соответствии с техзаданием.
3. Выявлять  «боли аватара», писать посты, способные «расшевелить» и спровоцировать людей на качественные действия.
4.  Составлять контентплан, использовать основные формы контента (создавать и выкладывать посты, сторис, IGTV, вести прямой эфир)
5.  Научилась использовать многие приёмы вовлеченности (например, взаимный пиар,  в сторис провожу обзор витрин, выкладываю хвасты покупателей; завтра стартует конкурс ""БЕЗ ЧЕГО Я НЕ МОГУ ОБОЙТИСЬ НА КАРАНТИНЕ?"")
6.  Работать с хештегами (по ним каждый день приходят подписчики понемногу)
7.  Анализировать эффективность контента профиля  на сервисе popsters.ru"
1053238,"Честно скажу  ,мне очень тяжело писать о курсе которой я только начало изучила  и не успела дойти до сути своей, но первое впечатление ,так скажем послевкусие - качественная информация и она по делу .Для лучшего усвоения программы  было бы хорошо к каждому уроку небольшую памятку в pdf формате, что бы смотрелся курс еще более профессионально и конечно же с заботой к абитуриентам ."
1054572,"Научилась делать разноплановый контент. Не просто выкладывать информацию о своих услугах, но и вести конкурсы, розыгрыши,  Очень сложно дается писать истории из жизни, но постоянно тренируюсь и уже вижу отклик среди подписчиков в увеличении комментариев после таких постов, в которых происходит живое общение. Еще научилась следить за статистикой моего акаунта и моих конкурентов. Это был совершенно новый опыт для меня. Научилась составлять контент-план. Хоть это и казалось мне не нужным вначале, но когда он составлен работа идет качественнее и легче. Теперь без него не работаю.  Узнала много нового про умную ленту. Раньше даже не задумывалась об этом. Пересилила себя и научилась брать интервью. Сделала серию интервью в сторис с косметологом по домашнему уходу. Был хороший отклик. Главное, после прохождения курса  я чувствую себя профи в инстаграмме))"
995322,"Я научилась составлять аватар ЦА, составлять контент-план, редактировать фото, писать посты, узнала 60 видов развития контента, составлять шапку профиля и кейсы,  узнала что такое тизер и инста-лэндинги, для чего они,  для чего марафоны создаются,  как сотрудничать с блоггерами, как их выбрать, какие писать хэштеги, как работать с умной лентой, знаю что такое оффер, какие существуют аналитический сайты, как смотреть статистику профиля, как найти клиентов, как с ними общаться."
1009959,"1. привел в порядок профиль своей страницы в инстаграмм
1.1. вечные сторис (раньше вообще не было)
1.2. обрабатывать фото и видео
1.3. писать вовлекающие и продающие посты, которые люди стали читать
1.4. сделал таплинк и заполнил его
1.5. правильно брать отзывы и грамотно их размещать
2. разработал четкий контент план на 2 месяца вперед
3. делаю ежедневные сторис от 3 и более
4. провожу еженедельно 2 -3 прямых эфира на своей странице и участвую в 1-2 на чужих страницах(до курса небыло ни одного прямого эфира)
5. органическому продвижению без вложения средств, а также платному продвижению
6. работать со статистикой, 
7. правильно подбирать хештеги, по ним стали приходить новые подпсчики
8. четко определяться с аватаром своего клиента и ведением страницы под него
9. составил воронку продаж и следую ей: есть основной продукт и мелкие продукты, ведущие к основному
10. алгоритмам умной ленты, как увеличить показы и охваты
11. определился с системой налогооблажения и банком
12. научился писать посты через продающие истории 
13. пару раз выходил в топ
14. составил план марафона и несколько постов к нему
15. работе с блогерами, как их выбирать и сколько стоит
"
957164,"аватар клиента.
продвижение в сетях.
план на месяц.
фотосессия.
отзывы"
1052635,"Подбирать хештеги, анализировать конкурентов, писать посты, выстраивать общий визуал ленты, взаимная реклама, организация конкурсов, АВАТАР СОСТАВЛЕН"
1047786,"В рамках данного курса я училась с 0 изучать Инстаграм. Для мне было сложно представить обычную соц.сеть ( общение и развлечение) в виде огромной рыночной площадки. Были сложности в создании правильного аватара. Узнала и начала активно применять на практике статистику и аналитику. Было познавательно взглянуть на соц.сеть с абсолютно другой,новой для себя стороны. Стараюсь применить на практике полученные знания:выкладка постов и сторис в нужное время, прямые эфиры, алгоритмы умной ленты, упаковка хештегами, и как показывает статистика, охваты растут,а значит я все правильно  делаю."
1055852,"Как правильно оформить шапку профиля и  визуал, чтобы он смотрелся аккуратно и гармонично.  Поняла важность четкого планирования постов и разнотематического контента. Осознала почему на самом деле нельзя размещать прямую рекламу. Изучила работу алгоритма инстаграма и применяла ее на практике. Узнала про форматы контента и их разделение на категории.  Ознакомилась с работой по хэштегам и опробовала на практике."
977444,"В рамках курса научилась тому, что необходимо для успешной работы в качестве SММ специалиста. Я узнала как определить целевую аудиторию и привлечь ее, как оформить шапку профиля, ленту, как обработать фото, как писать интересные и вовлекающие посты, подобрать нужные хештеги, как проводить прямые эфиры и многое другое.  Хорошо, что все знания, которые я получала, нужно было применять на практике и сдавать в виде отчета по домашнему заданию.  В результате я составила аватар клиента, разработала контент план, написала много постов на различные тематики, проводила прямые эфиры, попробовала на практике разные способы продвижения. "
1051684,"Курс очень полезен, а вернее необходим, ранее проходил курс по инстаграм, но именно на этом курсе узнал: 
-как с помощью инстаграм завладеть вниманием аудитории
как правильно оформлять аккаунт, соответственно применил на практике
-как грамотно оформлять шапку профиля, 
-на что влияет правильно оформленное имя профиля, 
-как правильно подбирать хештеги, сколько использовать в посте, а учитывая что по правильно подобранным хештегам постоянно привлекается бесплатный трафик и приходят целевые люди  
-как создавать и использовать таплинк, кликабельные ссылки 
-какими ресурсами пользоваться для аналитики, создания постов, использования шаблонов для постов
-насколько важно правильно составить аватар целевой аудитории, т.к. аватар основа и база всего наполнения аккаунта
- что правильный Аватар позволяет написать контент на 1-2 месяца вперед
-влияние видео контента на восприятие аудиторией, что при правильно упаковке видят не только прямые подписчики, а оно имеет более широкий охват
-IG TV канал, прямые эфиры просто необходимы, т.к. через видео проявляется экспертность и воспринимаются  всеми типами людей
-что Stories имеет самые большие охваты и занимает первое место по коммуникациям и можно осуществлять продажи в ""лоб""
-узнал о 60 категориях контента, Умной ленте и как их применять
Очень полезным был урок о поиске клиентов обязательно буду применять на практике "
1050783,"Конечно курс очень информативен. Я стала по-другому смотреть на Инстаграм. Теперь я вижу кто действительно грамотно ведет свой аккаунт, а кто просто выкладывает фотки. Информация подается в доступной форме с практическими примерами. Домашние задания очень интересные, требуют задействовать мозг и включить креативное мышление. Теперь я понимаю, что это действительно серьезная профессия с большими перспективами. "
1033506,"Из курса я понял свои ошибки которые раньше делал, стал больше внимания уделять контенту. 
Научился настраивать и применять сервис Таплинк, сервисы аналитики конкурентов, что помогает мне понять как продвигаются мои конкуренты. 
Курс подсказал что необходимы для продвижения аккаунта Сторис и Видео, начал применять. 
В целом курс интересный и познавательный 

"
1054315,"Данный курс, как мне кажется, полезен всем. Потому что курс раскроет Вам ""логику"" инстаграма, станут понятны многие маркетинговые и не только ходы, которые применяются буквально везде чтобы мы с Вами как обычные люди совершили покупку или по крайней мере заинтересовались продуктом. А если говорить именно об инстаграме - то в курсе раскрываются очень большие возможности, которые помогут достигнуть 10000 целевых подписчиков, и при ""правильном"" ведении Инстаграма постоянные продажи, за которыми мы все и пришли на этот курс. Мне стало понятно как люди попадают в ТОП Инстаграма и добиваются больших охватов своих постов. Теперь осталось не сбавлять темп и не расслабляться, чтобы закрепить результат и продвигать свои направления."
10197,"Приняла информацию по составлению аватара, изменила свое мнение по этому поводу. Очень подробно изложена информация по всем видам контента, никогда не уделяла внимание контент-плану-поняла, что это было огромнейшее упущение с моей стороны. Совсем не придавала внимание видеоконтенту, сторис. На данном этапе еще не владею в совершенстве этими видами подачи информации, но исправлю это. Конкурентный анализ в таблице из курса очень мощная вещь. Представление по всем конкурентам имела (и думала, что очень хорошо представляю себе их)...но заполняя таблицу в рамках курса узнала о них много нового и в корне поменяла подход к продажам. Открытие просто на миллион!"
1056168,"Научилась создавать контент план, формировать шапку с офером, красивым и правильным постам, правильному общению с клиентами"
